model,region,scenario,unit,variable,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Unknown,AFG,Historical,"national currency, constant prices",GDP,,,,,,,,,,,,,,,,,,,,,,,50.37748977075474,54.760331380810406,55.14365370047607,61.650604837132256,64.9797374983374,73.62204258561627,76.4933022464553,92.25092250922509,100.0,106.5,121.41000000000001,128.33037000000002,131.79528999000001,133.11324288990002,136.04173423347783,139.57881932354826,141.25376515543084,146.76266199649262,143.2403581085768,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,ALB,Historical,"national currency, constant prices",GDP,46.30989420148342,48.94955817096797,50.369095357926035,50.923155406863216,51.941618515000485,51.162494237275475,54.02759391456291,53.5953731632464,52.84503793896095,58.023851656979126,52.22146649128121,37.59945587372247,34.89229505081445,38.24195537569263,41.836699181007745,45.560165408117435,49.70614046025612,44.2881711500882,48.18553021129597,54.40146360855315,58.15516459754332,62.98204325913941,65.81623520580068,69.43612814211971,73.25511518993629,77.28414652538278,81.84391117038037,86.75454584060319,93.26113677864842,96.43201542912247,100.0,102.49999999999999,103.93499999999999,104.97434999999999,106.86388829999999,109.21489384259999,112.81898533940578,117.10610678230321,121.79035105359534,124.34794842572083,119.9957702308206,130.19541070044033,132.79931891444915,136.51769984405374,141.15930163875157,145.95871789446912,150.92131430288106,156.05263898917903,161.3584287148111,166.8446152911147,172.51733221101262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,DZA,Historical,"national currency, constant prices",GDP,43.358909547315335,44.6596768337348,47.51789615109383,50.0838625432529,52.888558845675064,55.85031814103287,55.738617504750806,55.34844718221755,54.29682668575541,56.903074366671675,57.35829896160505,56.66999937406579,57.576719364050845,56.36760825740578,55.860299783089125,57.98299117484651,60.18634483949068,60.84839463272507,63.95166275899404,65.99811596728185,68.50604437403857,70.56122570525973,74.51265434475428,79.8775654575766,83.31230077225239,88.22772651781527,89.72759786861812,92.77833619615114,95.00501626485877,96.52509652509652,100.0,102.89999999999999,106.39859999999999,109.37776079999999,113.53411571039999,117.73487799168478,121.5023940874187,123.20342760464256,124.68186873589826,125.67932368578545,119.52103682518195,124.30187829818924,127.28512337734578,130.3399663384021,132.55574576615493,134.9417491899457,137.10081717698483,139.56863188617055,142.08086726012164,144.63832287080382,147.2418126824783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,AND,Historical,"national currency, constant prices",GDP,,,,,,,,,,,,,,,,,,,,,76.62299564169892,82.82945828867653,86.55678391166697,94.087224111982,101.70828926505253,107.20053688536537,112.34616265586291,114.14370125835671,107.75165398788873,102.04081632653062,100.0,100.0,95.0,91.675,93.96687499999999,95.28241125,98.80786046624999,99.10428404764873,100.68995259241112,102.70375164425934,91.2009314601023,99.3178143600514,103.78711600625371,106.58936813842256,108.93433423746785,110.67728358526733,112.33744283904633,114.02250448163201,115.73284204885648,117.46883467958932,119.23086719978315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,AGO,Historical,"national currency, constant prices",GDP,16.08333465630537,15.375667931427936,15.375667931427936,16.02144598454791,16.982732743620787,17.577128389647513,18.08686511294729,18.82842658257813,19.976960604115394,19.976960604115394,19.277766982971354,21.610376787910887,24.07395974173273,26.722095313323333,29.52791532122228,32.5988185146294,36.249886188267894,38.89612788001145,40.72424589037198,41.620179299960164,42.91040485825893,44.71264186230581,50.8382737974417,52.36342201136495,58.123398432615105,66.84190819750737,74.52872764022071,84.96274950985162,94.478577454955,95.32888465204958,100.0,103.49999999999999,112.29749999999999,117.91237499999998,123.57216899999999,124.68431852099998,121.44252623945398,121.19964118697507,118.77564836323556,117.94421882469291,111.3393425705101,112.11871796850366,115.48227950755877,119.2931947313082,123.82633613109792,128.77938957634183,134.05934454897184,139.28765898638173,144.7198776868506,150.36395291663774,156.2281470803866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,ATG,Historical,"national currency, constant prices",GDP,34.27003022700656,35.57229137563281,35.53671908425718,37.455701914807065,41.27618351011739,44.41317345688632,49.52068840442825,52.78905383912051,55.534084638754784,58.477391124608786,60.23171285834705,61.55681054123069,62.29549226772546,65.5971533579149,69.9921626328952,66.91250747704781,71.32873297053297,75.25181328391227,78.78864850825614,81.70382850306162,86.76946587025144,82.86483990609013,83.69348830515102,88.79879109176522,93.94912097508761,100.0558138384683,112.76290219595377,123.24985210017746,123.24985210017746,108.45986984815617,100.0,98.0,101.33200000000001,100.72400800000001,104.55152030400002,108.52447807555203,114.49332436970738,118.0426174251683,126.1875580275049,132.37074837085262,105.6318571999404,110.70218634553754,117.89782845799748,124.26431119472934,130.72605537685527,135.95509759192947,139.62588522691155,143.39578412803814,147.26747029949516,151.24369199758152,155.3272716815162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,ARG,Historical,"national currency, constant prices",GDP,53.26744595812487,50.23120153851175,48.67403429081788,50.47497355957814,51.4844730307697,47.880559918615816,51.28007967283754,52.56208166465847,51.5108400313653,47.905081229169724,47.28231517319052,52.24695826637552,57.6283949678122,61.25898385078436,64.81200491412986,62.99726877653423,66.4621185592436,71.84555016254234,74.64752661888149,72.10951071383951,71.53263462812879,68.38519870449112,60.931212045701585,66.41502112981473,72.32595801036824,78.76296827329101,85.0640057351543,92.71976625131819,96.52127666762223,90.82652134423252,100.0,106.0,104.94,107.45856,104.772096,107.600942592,105.341322797568,108.2908798358999,105.4753169601665,103.36581062096316,93.1325953694878,102.63212009717557,106.7374049010626,109.93952704809449,113.01783380544114,115.27819048154997,117.58375429118097,119.93542937700458,122.33413796454468,124.78082072383557,127.27643713831229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,ARM,Historical,"national currency, constant prices",GDP,,,,,,,,,,,,,37.04921741137846,31.825277756374092,33.54384275521829,36.227350175635756,38.111172384768814,39.40695224585095,41.88959023733956,43.230057124934426,45.78063049530555,50.12979039235958,57.54899937042881,65.66340828165927,72.55806615123349,82.78875347855741,93.716868937727,106.5560799821956,113.9084495009671,97.84735812133073,100.0,104.69999999999999,112.13369999999998,115.94624579999999,120.12031064879999,124.08428090021037,124.3324494620108,133.6573831716616,140.607567096588,151.2937421959287,140.09800527342998,148.0835915740155,150.3048454476257,156.31703926553072,163.19498899321408,170.53876349790872,178.2130078553146,186.23259320880373,194.61305990319988,203.37064759884387,212.52232674079184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,AUS,Historical,"national currency, constant prices",GDP,38.271890319851344,39.84103782296525,39.88087886078821,39.68147446648427,42.18140735787277,44.50138476255577,45.56941799685711,47.802319478703104,49.85781921628733,52.15127890023655,52.93354808374009,52.40421260290269,53.76672213057816,55.8636242936707,58.545078259766896,60.30143060755991,62.71348783186231,65.59830827212798,68.61583045264587,71.56631116210963,73.78486680813502,75.77705821195467,78.95969465685677,81.32848549656248,84.66295340192153,87.20284200397917,89.47011589608263,93.40680099551027,95.83537782139354,97.65625,100.0,102.8,106.7064,109.0539408,111.8893432608,114.4627981557984,117.55329370600494,120.37457275494906,123.74506079208763,126.21996200792938,123.44312284375494,129.2449496174114,134.6732375013427,138.04006843887626,141.2149900129704,144.4629347832687,148.0745081528504,151.92444536482452,155.87448094430997,159.92721744886202,164.08532510253244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,AUT,Historical,"national currency, constant prices",GDP,54.32480478414498,54.270479979360836,55.301619098968686,56.85006443373981,57.02061462704102,58.27506814883592,59.61539471625914,60.62885642643554,61.235144990699894,63.623315645337186,66.35911821808668,68.61532823750163,70.05625013048916,70.4065313811416,72.09628813428901,74.04288791391481,75.81991722384876,77.41213548554958,80.19897236302937,83.08613536809843,85.91106397061377,87.02790780223174,88.50738223486967,89.30394867498349,91.71515528920803,93.7328887055706,97.01353981026557,100.60304078324539,102.11208639499407,98.23182711198429,100.0,102.89999999999999,103.62029999999999,103.62029999999999,104.34564209999998,105.38909852099998,107.49688049141999,109.96930874272263,112.71854146129068,114.40931958321003,106.74389517113497,111.54737045383604,114.44760208563578,117.88103014820486,120.59229384161355,122.8835474246042,125.09545127824708,127.34716940125553,129.63941845047813,131.97292798258675,134.3484406862733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
